Latitude	Longitude
45.451449	9.174097
45.476843	9.184066
45.45116	9.205938
45.433544	9.194155
45.458708	9.181815
45.471862	9.214302
45.522958	9.159566
45.488821	9.2176
45.466535	9.151602
45.48362	9.17278
45.431891	9.177413
45.465823	9.166679
45.464538	9.193681
45.475745	9.183596
45.488728	9.194654
45.448217	9.177464
45.489327	9.182961
45.43629	9.175107
45.470731	9.193237
45.464029	9.18679
45.487967	9.188046
45.469465	9.229781
45.476561	9.188323
45.466764	9.152335
45.447557	9.177122
45.466673	9.152042
45.469798	9.185289
45.458449	9.174765
45.478691	9.216782
45.4498	9.167412
45.461652	9.234986
45.472746	9.187571
45.444622	9.177099
45.450791	9.199671
45.468569	9.155099
45.457737	9.181519
45.447413	9.15546
45.478047	9.161487
45.449253	9.172878
45.459201	9.177347
45.481838	9.172632
45.462672	9.087472
45.456934	9.183117
45.481491	9.176021
45.462397	9.125303
45.467387	9.152885
45.476423	9.171099
45.451884	9.251848
45.488159	9.193459
45.477779	9.184866
45.485769	9.19329
45.447186	9.154375
45.450621	9.199099
45.45075	9.193713
45.478117	9.207742
45.468945	9.18103
45.468964	9.184905
45.451239	9.171201
45.456963	9.184237
45.468945	9.18103
45.475657	9.188696
45.447568	9.177677
45.482161	9.242366
45.481721	9.095753
45.432129	9.177431
45.451781	9.178616
45.477153	9.184213
45.468945	9.18103
45.478634	9.188208
45.457704	9.180764
45.45979	9.171483
45.442146	9.176106
45.481825	9.188237
45.476966	9.185089
45.472062	9.173507
45.447557	9.177122
45.457742	9.180223
45.487025	9.159113
45.476447	9.206112
45.468945	9.18103
45.437123	9.200084
45.461795	9.221339
45.479829	9.220987
45.451046	9.189188
45.474291	9.214916
45.474748	9.147899
45.471605	9.184222
45.481214	9.235544
45.473028	9.16865
45.455495	9.204162
45.443794	9.176334
45.443377	9.13665
45.476652	9.217591
45.46563	9.182061
45.436955	9.200541
45.480603	9.213293
45.467538	9.153891
45.475105	9.208567
45.481986	9.187094
45.478368	9.188114
45.458177	9.165002
45.472381	9.187458
45.44433	9.215879
45.455173	9.199725
45.481113	9.214441
45.476871	9.195315
45.459514	9.20663
45.465025	9.191951
45.446027	9.192695
45.44203	9.179041
45.467628	9.174252
45.480921	9.19975
45.468079	9.162538
45.451239	9.171201
45.452485	9.176244
45.478996	9.214563
45.462796	9.157663
45.45037	9.169297
45.475174	9.214523
45.456257	9.187315
45.481605	9.18699
45.452965	9.172286
45.461425	9.189156
45.474182	9.208762
45.452644	9.160008
45.467313	9.207318
45.453231	9.180707
45.462332	9.194137
45.467777	9.222548
45.451634	9.172909
45.48024	9.201679
45.44663	9.213016
45.475934	9.218758
45.44143	9.19927
45.465778	9.166559
45.476192	9.14405
45.452174	9.175556
45.466702	9.232203
45.468945	9.18103
45.461954	9.191266
45.466385	9.136119
45.487187	9.23619
45.451075	9.170274
45.466586	9.189835
45.46755	9.155047
45.459482	9.207294
45.471586	9.185924
45.485209	9.229553
45.448915	9.208118
45.466191	9.211461
45.448134	9.206961
45.47075	9.228431
45.485853	9.23122
45.452502	9.248151
45.472111	9.185733
45.485059	9.167137
45.442682	9.155119
45.451781	9.178616
45.477525	9.170512
45.462017	9.219548
45.45037	9.169297
45.452318	9.182407
45.468945	9.18103
45.452233	9.20248
45.488891	9.214834
45.443757	9.215923
45.469357	9.153671
45.466871	9.222666
45.456579	9.181011
45.462071	9.18544
45.462071	9.18544
45.479638	9.174697
45.472381	9.187458
45.450753	9.168617
45.444236	9.176713
45.461669	9.213607
45.486269	9.22123
45.478171	9.176094
45.479716	9.189006
45.457274	9.175177
45.457128	9.17657
45.450705	9.205217
45.475024	9.223173
45.486485	9.159993
45.463554	9.181108
45.48656	9.164834
45.481768	9.170683
45.474589	9.182655
45.489136	9.18781
45.444852	9.177273
45.465025	9.191951
45.463341	9.199342
45.452243	9.183303
