Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude	Latitude	Longitude
45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122	45.49675084	9.224913122
45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508	45.49301213	9.131759508
45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967	45.47288563	9.233046967
45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372	45.45416786	9.188399372
45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723	45.46652422	9.210134723
45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905	45.47458434	9.12966905
45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193	45.49074975	9.168773193
45.47455467	9.193402085	45.47455467	9.193402085	45.47351311	9.194925959	45.47153721	9.196319989	45.46976507	9.198381985	45.46757888	9.200303011	45.4650741	9.200081966	45.46282289	9.198129778	45.46080649	9.196190887	45.45857533	9.1941088
45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846	45.44692384	9.180601846
45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767	45.4802981	9.193036767
45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426	45.49402206	9.14604426
45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195	45.45376896	9.149806195
45.50050732	9.211369321	45.50050732	9.211369321	45.49944922	9.211740997	45.49702243	9.212666846	45.49513106	9.211516464	45.49347054	9.212445164	45.49116828	9.212655766	45.48896223	9.213032237	45.48691094	9.211148797	45.48474953	9.209815843
45.48703627	9.161366585	45.48703627	9.161366585	45.48534399	9.162142754	45.48345434	9.162914514	45.48172546	9.165197219	45.47989773	9.167640156	45.47791174	9.169239083	45.47570355	9.168477822	45.47370979	9.17048736	45.47205011	9.172702309
45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887	45.50733555	9.196606887
45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389	45.46897707	9.215785389
45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667	45.49039483	9.169204667
45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883	45.49143005	9.244051883
45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885	45.48245082	9.197729885
45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358	45.45201046	9.178801358
45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441	45.48969152	9.191631441
45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688	45.50251339	9.163305688
45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077	45.45654123	9.227422077
45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046	45.49087015	9.138086046
45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146	45.46405294	9.078464146
45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663	45.47710372	9.228079663
45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033	45.42770429	9.191524033
45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696	45.4668558	9.112727696
45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584	45.46518382	9.186468584
45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977	45.50918322	9.18947977
45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685	45.49894917	9.132281685
45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879	45.45480517	9.186818879
